------------------------------------------------
gPROMS Parameter Estimation
------------------------------------------------


Estimation Name                   :  my_model
Final Optimisation Status         :  Optimal Solution Found
Objective function                :  -9917.45
    Constant term                 :  3528.72
    Variance term                 :  -15366.9
    Least squares term            :  1920.74

Statistical Analysis:
=====================

Estimated Parameters:
---------------------
                                Final      Lower      Upper   95% Conf.  95%      Standard
Parameter                       Value      Bound      Bound   Interval   t-value  Deviation
------------
Flowsheet.my_model.pos(278)     0.928631   0.5        6.5     0.94       0.99     0.48
Flowsheet.my_model.pos(279)     1.77088    0.5        6.5     0.53       3.4      0.27
Flowsheet.my_model.pos(280)     3.95174    0.5        6.5     0.32       12       0.16
Flowsheet.my_model.pos(281)     1.33853    0.5        6.5     0.7        1.9      0.36
Flowsheet.my_model.pos(282)     0.962426   0.5        6.5     0.92       1.1      0.47
Flowsheet.my_model.pos(283)     3.2442     0.5        6.5     0.31       10       0.16
Flowsheet.my_model.pos(284)     0.962557   0.5        6.5     0.92       1        0.47
Flowsheet.my_model.pos(285)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(286)     0.5        0.5        6.5     1.3        0.38     0.66
Flowsheet.my_model.pos(287)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(288)     0.5        0.5        6.5     1.3        0.38     0.66
Flowsheet.my_model.pos(289)     0.5        0.5        6.5     1.3        0.38     0.66
Flowsheet.my_model.pos(290)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(291)     5.03042    0.5        6.5     0.41       12       0.21
Flowsheet.my_model.pos(292)     4.18746    0.5        6.5     0.33       13       0.17
Flowsheet.my_model.pos(293)     1.39318    0.5        6.5     0.67       2.1      0.34
Flowsheet.my_model.pos(294)     1.68036    0.5        6.5     0.56       3        0.28
Flowsheet.my_model.pos(295)     1.58648    0.5        6.5     0.59       2.7      0.3
Flowsheet.my_model.pos(296)     1.13307    0.5        6.5     0.81       1.4      0.41
Flowsheet.my_model.pos(297)     1.32876    0.5        6.5     0.7        1.9      0.36
Flowsheet.my_model.pos(298)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(299)     1.73893    0.5        6.5     0.54       3.2      0.27
Flowsheet.my_model.pos(300)     0.593651   0.5        6.5     1.2        0.49     0.62
Flowsheet.my_model.pos(301)     3.37402    0.5        6.5     0.31       11       0.16
Flowsheet.my_model.pos(302)     4.5889     0.5        6.5     0.36       13       0.19
Flowsheet.my_model.pos(303)     1.33166    0.5        6.5     0.7        1.9      0.36
Flowsheet.my_model.pos(304)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(305)     3.32211    0.5        6.5     0.31       11       0.16
Flowsheet.my_model.pos(306)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(307)     4.43438    0.5        6.5     0.35       13       0.18
Flowsheet.my_model.pos(308)     0.87394    0.5        6.5     0.98       0.89     0.5
Flowsheet.my_model.pos(309)     1.18685    0.5        6.5     0.77       1.5      0.39
Flowsheet.my_model.pos(310)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(311)     2.71623    0.5        6.5     0.34       8        0.17
